epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5478,3.06839,8.10847,1.91344,0,0,0,0,2.85556,9.47883,1.66654,5.001e-05,5.001e-05,5.001e-05
2,21.2966,2.4616,7.25598,1.57643,0,0,0,0,2.0548,6.77706,1.27604,0.000116112,0.000116112,0.000116112
3,30.8392,2.27029,6.19738,1.36081,0.00127,0.25,0.0012,0.00029,2.26787,5.95101,1.14359,0.000181555,0.000181555,0.000181555
4,40.1121,2.16985,4.65369,1.22764,0.00272,0.875,0.00311,0.00091,2.29286,5.64253,1.13961,0.000246337,0.000246337,0.000246337
5,49.2621,1.99158,3.92857,1.10339,0.00268,0.875,0.00304,0.00064,2.19302,5.47161,1.14878,0.000310459,0.000310459,0.000310459
6,58.4184,1.72089,3.73474,0.98949,0.00203,0.75,0.00193,0.00036,2.00366,5.82129,1.06182,0.000373921,0.000373921,0.000373921
7,67.8251,1.74966,3.27973,1.12003,0.00275,0.875,0.00275,0.00054,2.3299,5.80443,1.08834,0.000436722,0.000436722,0.000436722
8,77.0499,1.6196,2.86871,1.04836,0.00202,0.75,0.00192,0.00055,2.43948,5.62567,1.09811,0.000498864,0.000498864,0.000498864
9,86.1803,1.75557,4.1812,1.07585,0.00265,0.875,0.00285,0.00073,2.07657,5.52251,1.07002,0.000560345,0.000560345,0.000560345
10,95.5384,1.61929,2.92964,1.03692,0.00262,0.875,0.00279,0.00126,2.13008,5.39525,1.12673,0.000621167,0.000621167,0.000621167
11,104.835,1.64755,2.61587,1.06966,0.00266,0.875,0.00268,0.00097,2.38474,5.37632,1.04343,0.000681328,0.000681328,0.000681328
12,114.066,1.75876,2.76828,1.12625,0.00266,0.875,0.00262,0.00134,1.86625,4.86146,1.05664,0.000740829,0.000740829,0.000740829
13,123.329,1.92903,2.68509,1.05536,0.00263,0.875,0.00259,0.00128,1.74829,4.87963,1.0341,0.00079967,0.00079967,0.00079967
14,132.68,1.48073,2.4706,1.03594,0.00264,0.875,0.00254,0.00091,2.11856,4.89524,1.01949,0.000857851,0.000857851,0.000857851
15,141.941,1.68453,2.32761,1.07761,0.00133,0.625,0.00108,0.00026,2.56782,4.83459,1.05255,0.000915371,0.000915371,0.000915371
16,151.195,1.74615,2.37334,1.04974,0.00134,0.625,0.00108,0.00039,2.32861,4.7416,1.07582,0.000972232,0.000972232,0.000972232
17,160.36,1.53348,2.57215,1.08253,0.00138,0.25,0.00112,0.00047,2.24933,4.75869,1.06924,0.00102843,0.00102843,0.00102843
18,169.567,1.43891,1.95306,0.97955,0.00139,0.25,0.00235,0.00042,2.80743,4.88056,1.22433,0.00108397,0.00108397,0.00108397
19,178.65,1.62296,2.40153,1.0343,0.00133,0.625,0.00131,0.00044,2.96351,5.26618,1.24297,0.00113885,0.00113885,0.00113885
20,187.816,1.68533,2.5332,1.06203,0,0,0,0,2.48167,5.15356,1.10262,0.00119307,0.00119307,0.00119307
21,197.043,1.47089,2.03898,1.02012,0,0,0,0,2.06576,4.993,1.04908,0.00124663,0.00124663,0.00124663
22,206.126,1.40182,2.1149,1.06431,0.00141,0.25,0.00108,0.00063,2.11859,5.18727,1.05244,0.00129953,0.00129953,0.00129953
23,215.227,1.53762,2.13126,0.96595,0.00146,0.25,0.0013,0.00065,2.01363,4.9149,1.06647,0.00135177,0.00135177,0.00135177
24,224.263,1.64941,2.39459,1.10913,0.00217,0.375,0.2488,0.08066,2.2376,4.57425,1.12887,0.00140335,0.00140335,0.00140335
25,233.396,1.44461,1.89642,1.00741,0.29332,0.18998,0.20673,0.04543,2.30615,4.78905,1.20718,0.00145427,0.00145427,0.00145427
26,242.576,1.41266,1.91054,1.0384,0.00212,0.375,0.20775,0.10341,2.23049,4.85662,1.23808,0.00146071,0.00146071,0.00146071
27,251.58,1.3381,1.77859,0.95624,0.00216,0.375,0.37278,0.1034,2.11207,4.3558,1.14586,0.00145246,0.00145246,0.00145246
28,260.717,1.41664,1.71513,0.9375,0.22355,0.375,0.34212,0.08728,2.00657,4.09001,1.1373,0.00144421,0.00144421,0.00144421
29,270.288,1.36461,2.23579,1.08181,0.33538,0.25614,0.32483,0.07492,2.05095,3.9003,1.1206,0.00143595,0.00143595,0.00143595
30,280.536,1.35837,1.58084,0.96677,0.30537,0.25,0.3025,0.08429,2.15706,3.82191,1.10134,0.0014277,0.0014277,0.0014277
31,290.871,1.22431,1.63269,0.94062,0.24664,0.12332,0.3025,0.0913,2.11486,3.79454,1.03736,0.00141945,0.00141945,0.00141945
32,301.17,1.41089,1.55831,0.98883,0.25311,0.12967,0.26024,0.11651,2.01868,3.7583,1.00657,0.0014112,0.0014112,0.0014112
33,311.502,1.32568,1.62688,0.99118,0.35661,0.31984,0.32937,0.1102,2.27784,3.42367,1.03728,0.00140295,0.00140295,0.00140295
34,321.779,1.36697,1.8157,0.94596,0.32924,0.24386,0.30707,0.11289,2.09062,3.63394,1.02851,0.0013947,0.0013947,0.0013947
35,332.152,1.25461,1.43358,0.94851,0.15434,0.125,0.13921,0.06007,1.96866,4.52548,0.99856,0.00138644,0.00138644,0.00138644
36,342.5,1.34817,1.4225,0.95387,0.06807,0.625,0.10832,0.03362,2.09946,4.78484,0.98441,0.00137819,0.00137819,0.00137819
37,352.944,1.29259,1.47329,0.99901,0.24986,0.12493,0.15531,0.04377,2.32666,4.56776,1.01704,0.00136994,0.00136994,0.00136994
38,363.38,1.44807,1.5565,0.98709,0.24223,0.12112,0.11115,0.03859,2.20173,4.63181,1.00659,0.00136169,0.00136169,0.00136169
39,373.698,1.2942,1.47333,0.92063,0.23457,0.11728,0.09173,0.06306,1.95062,4.56685,1.00353,0.00135344,0.00135344,0.00135344
40,384.086,1.37516,1.3757,0.96876,0.00276,0.875,0.04667,0.0324,1.88685,4.76508,0.99015,0.00134519,0.00134519,0.00134519
41,394.42,1.19084,1.47337,0.95549,0.00341,1,0.05775,0.03999,1.8411,4.91846,0.99543,0.00133693,0.00133693,0.00133693
42,404.66,1.23801,1.33482,0.96745,0.00345,1,0.1237,0.04628,1.92925,4.73433,1.01425,0.00132868,0.00132868,0.00132868
43,414.888,1.23294,1.40511,0.90415,0.00348,1,0.16785,0.0474,2.01335,4.62209,1.0058,0.00132043,0.00132043,0.00132043
44,425.302,0.95944,3.46392,0.69546,0.24571,0.12285,0.2317,0.06554,1.98076,4.46425,1.05078,0.00131218,0.00131218,0.00131218
45,435.561,1.11274,1.32186,0.96865,0.24524,0.12262,0.24875,0.07012,2.02987,4.63885,1.08077,0.00130393,0.00130393,0.00130393
46,445.879,1.13173,1.18379,0.9249,0.0034,1,0.21079,0.06063,2.06078,4.94619,1.07292,0.00129568,0.00129568,0.00129568
